Customer_ID,Document Number,Document Date,Net due date,Amount in doc. curr.,Document type,Local Currency,Posting Date,Payment date,Invoice reference,Document currency,Eff.exchange rate,Clearing Document,Name 1
1001121621,1122000207,07/03/2022,22/03/2022,"7,007,852.21",RV,NGN,07/03/2022,25/04/2022,1122000207,NGN,1,1322002043,Nigeria LNG Limited
1001121621,1122000226,08/03/2022,23/03/2022,"3,677,079.74",RV,NGN,08/03/2022,31/05/2022,1122000226,NGN,1,6022005672,Nigeria LNG Limited
1001121621,1122000396,18/04/2022,03/05/2022,"16,243,741.83",RV,NGN,18/04/2022,27/09/2022,1122000396,NGN,1,6022012461,Nigeria LNG Limited
1001121621,1122000397,19/04/2022,04/05/2022,"5,717,480.09",RV,NGN,19/04/2022,27/09/2022,1122000397,NGN,1,6022012461,Nigeria LNG Limited
1001121621,1122000439,21/04/2022,06/05/2022,"22,926,044.94",RV,NGN,21/04/2022,31/05/2022,1122000439,NGN,1,6022005672,Nigeria LNG Limited
1001121621,1122000466,27/04/2022,12/05/2022,"43,431,776.14",RV,NGN,27/04/2022,27/09/2022,1122000466,NGN,1,6022012461,Nigeria LNG Limited
1001121621,1122001326,29/09/2022,14/10/2022,"8,878,431.37",RV,NGN,29/09/2022,06/03/2023,1122001326,NGN,1,6023003992,Nigeria LNG Limited
1001121621,1122001660,23/11/2022,08/12/2022,"2,821,982.07",RV,NGN,23/11/2022,20/01/2023,1122001660,NGN,1,1323000382,Nigeria LNG Limited
1001121621,1122001661,23/11/2022,08/12/2022,"571,106.53",RV,NGN,23/11/2022,28/07/2023,1122001661,NGN,1,6023011965,Nigeria LNG Limited
1001121621,1122001673,25/11/2022,10/12/2022,"3,446.16",RV,NGN,25/11/2022,20/01/2023,1122001673,NGN,1,1323000382,Nigeria LNG Limited
1001121621,1122001682,25/11/2022,10/12/2022,"6,314.08",RV,NGN,25/11/2022,20/01/2023,1122001682,NGN,1,1323000382,Nigeria LNG Limited
1001121621,1122001691,26/11/2022,11/12/2022,"7,816.15",RV,NGN,26/11/2022,20/01/2023,1122001691,NGN,1,1323000382,Nigeria LNG Limited
1001121621,1123000181,02/02/2023,02/02/2023,"-2,929,827.36",RV,NGN,02/02/2023,20/02/2023,1123000181,NGN,1,6023003022,Nigeria LNG Limited
1001121621,1123000940,27/06/2023,12/07/2023,"4,866,525.00",RV,NGN,27/06/2023,28/07/2023,1123000940,NGN,1,6023011965,Nigeria LNG Limited
4000160609,1122000310,24/03/2022,24/03/2022,"570,899.07",RV,NGN,24/03/2022,24/03/2022,1122000310,NGN,1,1322001303,CHRISMOC GLOBAL SERVICES
4000160609,1122000319,31/03/2022,31/03/2022,"570,899.07",RV,NGN,31/03/2022,25/04/2022,1122000319,NGN,1,6022003898,CHRISMOC GLOBAL SERVICES
4000160615,1122000366,12/04/2022,12/04/2022,"570,899.07",RV,NGN,12/04/2022,12/04/2022,1122000366,NGN,1,1322002063,SINO TRUST MINING
4000160615,1122000844,08/07/2022,08/07/2022,"228,359.63",RV,NGN,08/07/2022,08/07/2022,1122000844,NGN,1,1322003829,SINO TRUST MINING
100754035,1122000603,30/05/2022,30/05/2022,"114,179.81",RV,NGN,30/05/2022,29/07/2022,1122000603,NGN,1,6022009565,FAIRTEX LIMITED
100754035,1122000739,23/06/2022,23/06/2022,"1,360,459.20",RV,NGN,23/06/2022,29/07/2022,1122000739,NGN,1,6022009565,FAIRTEX LIMITED
100754035,1123000089,19/01/2023,19/01/2023,"527,287.50",RV,NGN,19/01/2023,15/03/2023,1123000089,NGN,1,6023004407,FAIRTEX LIMITED
100754035,1123001465,24/10/2023,24/10/2023,"9,305,735.83",RV,NGN,24/10/2023,20/11/2023,1123001465,NGN,1,6023018909,FAIRTEX LIMITED
100754035,1123001465,24/10/2023,08/12/2023,"21,713,383.59",RV,NGN,24/10/2023,20/11/2023,1123001465,NGN,1,6023018909,FAIRTEX LIMITED
100754035,1123001553,16/11/2023,16/11/2023,"9,305,735.66",RV,NGN,16/11/2023,20/11/2023,1123001553,NGN,1,6023018909,FAIRTEX LIMITED
100754035,1123001553,16/11/2023,31/12/2023,"21,713,383.21",RV,NGN,16/11/2023,20/11/2023,1123001553,NGN,1,6023018909,FAIRTEX LIMITED
1001129996,1124000112,30/01/2024,30/01/2024,"2,281,264.28",RV,NGN,30/01/2024,12/02/2024,1124000112,NGN,1,6024002246,ALFA DESIGNS NIGERIA LIMITED
4000160659,1122001173,05/09/2022,20/09/2022,"772,381.16",RV,NGN,05/09/2022,04/10/2022,1122001173,NGN,1,6022013286,STARS MARINE AND ENGINEERING
4000160663,1122001139,30/08/2022,30/08/2022,"17,200,000.00",RV,NGN,30/08/2022,31/08/2022,1122001139,NGN,1,6022011122,DIVCON ENGINEERING LIMITED
1001121642,1122000364,11/04/2022,11/05/2022,"418,464.87",RV,NGN,11/04/2022,10/06/2022,1122000364,NGN,1,1322003009,AIR SOLUTION NIGERIA LIMITED
1001121642,1122000371,13/04/2022,28/05/2022,"789,442.89",RV,NGN,13/04/2022,10/05/2022,1122000371,NGN,1,1322002504,AIR SOLUTION NIGERIA LIMITED
1001121642,1122000400,20/04/2022,20/05/2022,"949,759.31",RV,NGN,20/04/2022,10/05/2022,1122000400,NGN,1,1322002504,AIR SOLUTION NIGERIA LIMITED
1001121642,1122000491,05/05/2022,19/06/2022,"31,929.69",RV,NGN,05/05/2022,20/07/2022,1122000491,NGN,1,1322003987,AIR SOLUTION NIGERIA LIMITED
1001121642,1122000662,09/06/2022,24/07/2022,"1,899,463.32",RV,NGN,09/06/2022,20/07/2022,1122000662,NGN,1,1322003987,AIR SOLUTION NIGERIA LIMITED
1001121642,1122000694,11/06/2022,11/07/2022,"616,344.79",RV,NGN,11/06/2022,31/01/2023,1122000694,NGN,1,6023002146,AIR SOLUTION NIGERIA LIMITED
1001121642,1122000771,28/06/2022,12/08/2022,"126,836.18",RV,NGN,28/06/2022,12/08/2022,1122000771,NGN,1,1322004345,AIR SOLUTION NIGERIA LIMITED
1001121642,1122000867,14/07/2022,28/08/2022,"180,206.81",RV,NGN,14/07/2022,12/08/2022,1122000867,NGN,1,1322004345,AIR SOLUTION NIGERIA LIMITED
1001121642,1122000877,14/07/2022,28/08/2022,"309,737.12",RV,NGN,14/07/2022,23/08/2022,1122000877,NGN,1,6022010683,AIR SOLUTION NIGERIA LIMITED
1001121642,1122001057,18/08/2022,02/10/2022,"121,913.06",RV,NGN,18/08/2022,22/09/2022,1122001057,NGN,1,1322005246,AIR SOLUTION NIGERIA LIMITED
1001121642,1122001078,19/08/2022,03/10/2022,"272,869.23",RV,NGN,19/08/2022,18/10/2022,1122001078,NGN,1,1322005672,AIR SOLUTION NIGERIA LIMITED
1001121642,1122001079,19/08/2022,03/10/2022,"88,324.30",RV,NGN,19/08/2022,22/09/2022,1122001079,NGN,1,1322005246,AIR SOLUTION NIGERIA LIMITED
1001121642,1122001125,29/08/2022,13/10/2022,"11,898.29",RV,NGN,29/08/2022,22/09/2022,1122001125,NGN,1,1322005246,AIR SOLUTION NIGERIA LIMITED
1001121642,1122001318,29/09/2022,29/10/2022,"102,144.63",RV,NGN,29/09/2022,30/09/2022,1122001318,EUR,429.18455,6022012895,AIR SOLUTION NIGERIA LIMITED
1001121642,1122001531,07/11/2022,22/12/2022,"16,519.70",RV,NGN,07/11/2022,06/12/2022,1122001531,NGN,1,1322006736,AIR SOLUTION NIGERIA LIMITED
1001121642,1122001548,09/11/2022,24/12/2022,"46,791.20",RV,NGN,09/11/2022,22/12/2022,1122001548,NGN,1,1322006964,AIR SOLUTION NIGERIA LIMITED
